,date,cases
494,2017-12-14,3
495,2017-12-15,1
496,2017-12-18,5
497,2017-12-19,5
498,2017-12-20,4
499,2017-12-21,2
500,2017-12-22,1
501,2018-01-03,2
502,2018-01-05,1
503,2018-01-08,4
504,2018-01-09,1
505,2018-01-10,5
506,2018-01-15,1
507,2018-01-16,3
508,2018-01-17,4
509,2018-01-19,3
510,2018-01-22,5
511,2018-01-23,3
512,2018-01-24,4
513,2018-01-25,3
514,2018-01-26,5
515,2018-01-29,9
516,2018-01-30,2
517,2018-01-31,3
518,2018-02-02,1
519,2018-02-05,3
520,2018-02-06,1
521,2018-02-08,1
522,2018-02-12,1
523,2018-02-13,1
